Trying solvers:
	uppsatIJCAR (scala uppsat.jar -a=0)
	uppsatNew (scala uppsat.jar -a=1)
<--- RESULTS --->
Status	uppsatIJCAR	uppsatNew		Filename
sat, sat, 6.756478, 7.7519407, 3, 2,../../../benchmarks/QF_FP_R/griggio/sat/div2.c.10.smt2, sat, sat
sat, sat, 16.373287, 16.082191, 3, 2,../../../benchmarks/QF_FP_R/griggio/sat/div2.c.20.smt2, sat, sat
sat, sat, 9.915645, 9.975377, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/div2.c.30.smt2, sat, sat
sat, sat, 0.8237552, 0.8081517, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/div2.c.3.smt2, sat, sat
sat, sat, 12.442976, 10.449807, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/div2.c.40.smt2, sat, sat
sat, sat, 18.199875, 14.964445, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/div2.c.50.smt2, sat, sat
sat, sat, 4.681128, 8.799994, 2, 2,../../../benchmarks/QF_FP_R/griggio/sat/div3.c.10.smt2, sat, sat
sat, sat, 9.294548, 17.852568, 2, 2,../../../benchmarks/QF_FP_R/griggio/sat/div3.c.20.smt2, sat, sat
sat, sat, 24.139399, 8.654941, 3, 1,../../../benchmarks/QF_FP_R/griggio/sat/div3.c.30.smt2, sat, sat
sat, sat, 0.8675571, 1.6222533, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/div3.c.3.smt2, sat, sat
sat, -, 28.24793, t/o, 2, -,../../../benchmarks/QF_FP_R/griggio/sat/div3.c.40.smt2, sat, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/sat/div3.c.50.smt2, -, -
sat, sat, 4.677706, 2.8406427, 2, 1,../../../benchmarks/QF_FP_R/griggio/sat/div.c.10.smt2, sat, sat
sat, sat, 9.088318, 4.9866166, 2, 1,../../../benchmarks/QF_FP_R/griggio/sat/div.c.20.smt2, sat, sat
sat, -, 19.45855, t/o, 2, -,../../../benchmarks/QF_FP_R/griggio/sat/div.c.30.smt2, sat, -
sat, sat, 0.7856453, 0.6579154, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/div.c.3.smt2, sat, sat
sat, sat, 12.342515, 9.165878, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/div.c.40.smt2, sat, sat
sat, sat, 17.668585, 15.079986, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/div.c.50.smt2, sat, sat
sat, sat, 0.87862, 0.6741061, 2, 1,../../../benchmarks/QF_FP_R/griggio/sat/e1_1.c.smt2, sat, sat
sat, sat, 0.8886426, 0.6475132, 2, 1,../../../benchmarks/QF_FP_R/griggio/sat/e1_2.c.smt2, sat, sat
sat, sat, 1.0685266, 1.5517534, 2, 2,../../../benchmarks/QF_FP_R/griggio/sat/e1.c.smt2, sat, sat
sat, sat, 0.9019176, 0.82155263, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/e2_1.c.smt2, sat, sat
sat, sat, 0.8518092, 1.4264988, 1, 2,../../../benchmarks/QF_FP_R/griggio/sat/e2_2.c.smt2, sat, sat
sat, sat, 0.8599047, 0.6776801, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/e2_3.c.smt2, sat, sat
sat, sat, 0.63227624, 0.67852294, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/e2a_1.c.smt2, sat, sat
sat, sat, 0.6893593, 0.77546215, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/e2a_2.c.smt2, sat, sat
sat, sat, 0.60262734, 2.2701497, 1, 3,../../../benchmarks/QF_FP_R/griggio/sat/e2a_3.c.smt2, sat, sat
sat, sat, 1.240624, 1.1454911, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/e2.c.smt2, sat, sat
sat, sat, 4.373936, 7.7525325, 4, 3,../../../benchmarks/QF_FP_R/griggio/sat/e3_1.c.smt2, sat, sat
sat, sat, 1.0385777, 0.8843202, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/e3_2.c.smt2, sat, sat
unsat, unsat, 16.463017, 16.566055, 6, 6,../../../benchmarks/QF_FP_R/griggio/sat/e3.c.smt2, unsat, unsat
sat, sat, 1.8863869, 11.836189, 1, 4,../../../benchmarks/QF_FP_R/griggio/sat/mult1.c.10.smt2, sat, sat
sat, sat, 7.446804, 12.265579, 2, 2,../../../benchmarks/QF_FP_R/griggio/sat/mult1.c.20.smt2, sat, sat
sat, sat, 11.457542, 28.41102, 2, 2,../../../benchmarks/QF_FP_R/griggio/sat/mult1.c.30.smt2, sat, sat
sat, sat, 0.7299351, 0.8141614, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/mult1.c.3.smt2, sat, sat
sat, sat, 7.060587, 5.1780214, 1, 1,../../../benchmarks/QF_FP_R/griggio/sat/mult1.c.40.smt2, sat, sat
sat, -, 21.910555, t/o, 2, -,../../../benchmarks/QF_FP_R/griggio/sat/mult1.c.50.smt2, sat, -
sat, sat, 5.1471624, 1.9399097, 3, 1,../../../benchmarks/QF_FP_R/griggio/sat/mult2.c.10.smt2, sat, sat
