Trying solvers:
	uppsatIJCAR (scala uppsat.jar -a=0)
	uppsatNew (scala uppsat.jar -a=1)
<--- RESULTS --->
Status	uppsatIJCAR	uppsatNew		Filename
unsat, unsat, 43.746273, 44.518066, 6, 6,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_1.smt2, unsat, unsat
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_2.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_3.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_4.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_1.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_2.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_3.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_4.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_1.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_2.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_3.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_4.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_1.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_2.smt2, -, -
-, -, t/o, t/o, -, -,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_3.smt2, -, -
