,Summary,,,,,,,,,,uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),,,,,,,,,,,,,
Sat,78,,,,,,,,,,50,52,40,52,49,44,48,45,42,,,,,,,,,,,,,
Unsat,56,,,,,,,,,,36,38,17,35,20,5,17,31,19,,,,,,,,,,,,,
,5.3604651163,,,,,,,,,,5.3604651163,-,4.8596491228,4.3563218391,3.347826087,-,2.8307692308,-,2.7868852459,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Status,uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),uppsatIJCAR(ACDCL),MathSat,uppsatIJCAR(MS),uppsatNew(ACDCL),uppsatIJCAR(z3),ACDCL,uppsatNew(MS),z3,uppsatNew(z3),,,,,,,,,,Filename,Sat,Unsat,Unknown
,unsat,unsat,unsat,unsat,unsat,unsat,-,unsat,unsat,unsat,0.8539008,3.372,12.104419,0.7824932,41.86208,t/o,12.1961155,8.45,41.950607,6,-,6,6,6,-,6,-,6,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_1.smt2,16,0,2
,unsat,unsat,unsat,unsat,unsat,-,-,unsat,unsat,-,3.4246774,5.736,19.445831,3.437863,t/o,t/o,19.524065,11.02,t/o,6,-,6,6,-,-,6,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_2.smt2,12,0,6
,unsat,-,unsat,unsat,-,-,-,unsat,unsat,-,t/o,13.221,46.556343,t/o,t/o,t/o,41.257267,22.52,t/o,-,-,6,-,-,-,6,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_3.smt2,8,0,10
,unsat,-,unsat,-,-,-,-,-,unsat,-,t/o,41.791,t/o,t/o,t/o,t/o,t/o,37.17,t/o,-,-,-,-,-,-,-,-,-,../../../benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_4.smt2,4,0,14
