Trying solvers:
	z3 (z3 -smt2 -st)
	MathSat (mathsat -stats)
	ACDCL (mathsat -stats -theory.fp.mode=2)
<--- RESULTS --->
	 Time, Iterations, Answer
File	z3, MathSat, ACDCL, z3, MathSat, ACDCL, z3, MathSat, ACDCL
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_1.smt2, 7.75, 3.08, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_2.smt2, 10.02, 5.22, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_3.smt2, 20.64, 12.017, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_1000_4.smt2, 34.02, 37.394, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_1.smt2, 10.17, 5.244, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_2.smt2, 18.2, 10.685, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_3.smt2, 38.49, 29.586, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_100_4.smt2, 47.91, 73.365, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_1.smt2, 17.85, 12.309, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_2.smt2, 30.06, 29.654, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_3.smt2, 49.07, 69.94, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_10_4.smt2, 46.95, 149.085, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_1.smt2, 41.23, 25.106, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_2.smt2, 47.38, 85.469, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_3.smt2, 64.56, 152.79, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/add_01_1_4.smt2, 82.49, 170.335, t/o, -, -, -, unsat, unsat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div.c.10.smt2, 27.65, 14.645, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div.c.20.smt2, 167.46, 50.783, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div.c.3.smt2, 5.68, 2.104, 0.02, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div.c.30.smt2, 423.93, 106.323, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div.c.40.smt2, 1082.97, 190.084, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div.c.50.smt2, t/o, 291.478, t/o, -, -, -, -, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div2.c.10.smt2, 49.91, 47.747, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div2.c.20.smt2, 125.83, 82.877, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div2.c.3.smt2, 7.71, 2.452, 0.064, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div2.c.30.smt2, 440.56, 508.768, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div2.c.40.smt2, 735.58, 678.914, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div2.c.50.smt2, 1171.59, 960.812, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div3.c.10.smt2, 21.33, 14.637, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div3.c.20.smt2, 186.72, 50.523, 13.465, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div3.c.3.smt2, 6.37, 2.1, 0.356, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div3.c.30.smt2, 541.61, 106.499, 2.8, -, -, -, sat, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div3.c.40.smt2, 627.55, 190.004, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/div3.c.50.smt2, t/o, 289.186, 11.741, -, -, -, -, sat, sat
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e1.c.smt2, 1.36, 0.268, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e1_1.c.smt2, 1.24, 0.232, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e1_2.c.smt2, 1.24, 0.232, t/o, -, -, -, sat, sat, -
/home/aleks/benchmarks/QF_FP_R/griggio/fmcad12/e2.c.smt2, 6.26, 1.484, 0.108, -, -, -, sat, sat, sat
